gae_lambda,angle_rew_weight,final_mean_return
0.8828282828282829,9.191919191919192,"[1000.0, 896.0078125, 913.3203125, 988.515625, 904.5078125, 938.4296875, 929.46875, 989.796875, 910.296875, 995.7734375]"
0.9777777777777777,4.444444444444445,"[265.4921875, 324.6015625, 295.2109375, 955.0859375, 578.7890625, 724.6953125, 318.7265625, 399.0703125, 282.390625, 286.9609375]"
0.9575757575757575,4.747474747474747,"[554.4765625, 494.5390625, 373.59375, 720.5546875, 719.9453125, 871.78125, 375.46875, 851.515625, 283.4609375, 902.2578125]"
0.8787878787878788,4.848484848484849,"[792.265625, 647.4140625, 814.4140625, 825.3515625, 754.53125, 937.1875, 487.140625, 950.953125, 644.703125, 671.546875]"
0.9838383838383838,5.05050505050505,"[372.453125, 544.1015625, 311.5859375, 591.7265625, 505.1484375, 728.4296875, 442.4765625, 855.15625, 275.625, 470.1640625]"
0.9777777777777777,0.9090909090909091,"[242.40625, 223.828125, 283.6484375, 277.53125, 281.21875, 408.0703125, 273.5390625, 227.9609375, 240.0703125, 255.1015625]"
0.9434343434343435,3.2323232323232323,"[331.2890625, 273.5, 279.9453125, 635.4140625, 748.375, 844.1328125, 262.390625, 306.859375, 269.734375, 335.1640625]"
0.8505050505050505,6.363636363636363,"[944.7265625, 739.8046875, 785.84375, 891.4765625, 885.609375, 893.2265625, 704.7734375, 932.0078125, 952.8671875, 993.953125]"
0.8949494949494949,8.383838383838384,"[907.8828125, 752.21875, 762.5859375, 949.0234375, 795.2109375, 933.0703125, 890.265625, 949.59375, 737.1171875, 990.59375]"
0.8020202020202021,1.3131313131313131,"[995.703125, 600.328125, 884.8515625, 834.3671875, 605.8203125, 899.765625, 705.984375, 939.2265625, 687.4609375, 952.171875]"
0.8707070707070708,8.98989898989899,"[971.6328125, 510.140625, 928.0625, 879.265625, 898.125, 919.7421875, 802.4765625, 918.96875, 917.125, 953.7109375]"
0.9171717171717172,4.343434343434343,"[473.8125, 316.359375, 694.8359375, 785.3984375, 766.328125, 806.9609375, 283.015625, 558.2890625, 379.71875, 351.28125]"
0.9959595959595959,4.242424242424242,"[274.21875, 282.3671875, 264.40625, 362.5625, 486.3828125, 612.140625, 786.734375, 437.875, 260.984375, 316.5859375]"
0.9030303030303031,1.8181818181818181,"[369.9921875, 314.6796875, 339.5, 560.6640625, 516.21875, 527.6796875, 381.59375, 397.1875, 346.140625, 444.484375]"
0.888888888888889,7.070707070707071,"[975.4765625, 973.4140625, 828.5625, 885.4140625, 880.4609375, 939.1875, 688.5546875, 905.03125, 948.046875, 972.59375]"
0.8141414141414142,2.121212121212121,"[851.65625, 781.859375, 547.2734375, 884.8828125, 885.984375, 811.8671875, 488.234375, 914.90625, 846.546875, 991.640625]"
0.8626262626262626,5.555555555555555,"[906.0546875, 993.5390625, 687.390625, 911.0703125, 787.484375, 729.46875, 721.6328125, 854.640625, 602.328125, 960.1953125]"
0.9636363636363636,2.6262626262626263,"[258.234375, 275.5625, 291.7265625, 339.4453125, 391.3984375, 725.8984375, 256.515625, 528.6796875, 266.7265625, 355.2734375]"
0.8565656565656566,2.8282828282828283,"[448.65625, 471.5078125, 638.9921875, 580.921875, 990.1953125, 802.3046875, 340.015625, 558.5546875, 429.5, 926.7265625]"
0.9595959595959596,0.0,"[252.2265625, 232.1875, 261.28125, 251.4375, 235.3203125, 233.4140625, 206.4765625, 245.421875, 213.5390625, 237.453125]"
0.9292929292929293,3.5353535353535355,"[435.1484375, 330.0234375, 348.3359375, 497.0546875, 509.5, 932.8203125, 300.8515625, 554.015625, 284.0, 739.7421875]"
0.9434343434343435,5.959595959595959,"[909.96875, 610.6328125, 860.6953125, 899.234375, 795.7890625, 854.7734375, 911.984375, 827.4921875, 346.140625, 909.4140625]"
0.9090909090909092,8.484848484848484,"[910.796875, 955.0859375, 838.09375, 947.96875, 871.4296875, 885.546875, 953.34375, 891.09375, 694.7578125, 853.1171875]"
