gamma,velocity_rew_weight,final_mean_return
0.001997127334530273,5.757575757575758,"[429.2734375, 412.1484375, 368.3671875, 395.7265625, 315.171875, 391.515625, 334.09375, 394.7421875, 316.78125, 391.2265625]"
0.00012590158918273834,5.858585858585858,"[353.9140625, 353.7578125, 468.8359375, 633.328125, 456.6171875, 575.265625, 439.6875, 507.140625, 452.765625, 462.0546875]"
0.0010007189409390025,6.262626262626262,"[339.0390625, 325.3828125, 375.5625, 369.265625, 346.078125, 323.8046875, 354.1953125, 324.171875, 371.8125, 306.078125]"
0.0023285910855096064,3.131313131313131,"[266.7109375, 296.296875, 297.5625, 259.265625, 341.109375, 334.65625, 292.2578125, 338.5859375, 299.5078125, 287.0703125]"
0.014700866253334402,4.94949494949495,"[1000.0, 1000.0, 1000.0, 1000.0, 662.25, 1000.0, 993.640625, 994.75, 1000.0, 996.734375]"
0.0006817002185769346,7.171717171717171,"[423.1796875, 357.421875, 461.53125, 358.1015625, 392.78125, 423.40625, 413.21875, 471.7109375, 368.3359375, 418.1171875]"
0.0005014394332495677,3.7373737373737375,"[346.703125, 297.953125, 301.2109375, 318.953125, 330.03125, 329.625, 360.921875, 323.4375, 331.7265625, 332.5859375]"
0.004647151880078404,6.262626262626262,"[747.8125, 673.4765625, 691.1796875, 601.9921875, 700.46875, 739.46875, 604.4921875, 581.4140625, 507.5390625, 799.3359375]"
0.009274286383257363,7.979797979797979,"[1000.0, 1000.0, 931.5234375, 1000.0, 995.0, 1000.0, 982.1640625, 1000.0, 1000.0, 1000.0]"
0.013614421404752578,4.040404040404041,"[1000.0, 1000.0, 996.3515625, 984.8671875, 962.421875, 1000.0, 826.140625, 1000.0, 989.796875, 1000.0]"
0.00039827887519494257,5.555555555555555,"[337.015625, 352.5390625, 347.2109375, 374.390625, 400.28125, 428.578125, 375.0546875, 315.3046875, 408.3984375, 329.2109375]"
0.14711435307922738,1.0101010101010102,"[1000.0, 1000.0, 997.234375, 977.328125, 919.8984375, 1000.0, 984.1953125, 999.1015625, 995.6796875, 992.8828125]"
0.00017116153053391744,4.646464646464646,"[333.9140625, 355.171875, 530.6953125, 341.2109375, 305.6015625, 485.21875, 544.8671875, 331.9453125, 427.8671875, 414.96875]"
0.0001848203969370861,8.080808080808081,"[478.5703125, 433.1953125, 432.1015625, 564.7734375, 469.109375, 399.15625, 518.8203125, 424.5625, 701.421875, 484.796875]"
0.000794842183831788,0.20202020202020202,"[227.9921875, 218.5859375, 350.1640625, 743.8828125, 1000.0, 1000.0, 939.5859375, 554.0234375, 320.1953125, 206.2734375]"
0.0023285910855096064,5.858585858585858,"[350.0390625, 346.0859375, 446.1640625, 357.71875, 389.0078125, 414.515625, 373.3359375, 379.9765625, 334.9453125, 433.4296875]"
0.013614421404752578,0.5050505050505051,"[293.1875, 263.921875, 262.1328125, 277.0078125, 301.75, 563.375, 244.6796875, 236.3671875, 307.6640625, 283.296875]"
0.008588884551030166,8.787878787878787,"[1000.0, 1000.0, 1000.0, 998.140625, 1000.0, 1000.0, 963.8125, 987.828125, 1000.0, 1000.0]"
0.010014383987540799,9.696969696969697,"[1000.0, 995.765625, 1000.0, 1000.0, 924.0859375, 1000.0, 989.8359375, 1000.0, 995.703125, 1000.0]"
0.0029317331822241717,7.6767676767676765,"[539.53125, 544.6484375, 503.984375, 446.8125, 512.8984375, 477.6015625, 402.5546875, 494.484375, 413.6015625, 469.640625]"
0.0001848203969370861,9.797979797979798,"[459.53125, 436.78125, 557.390625, 398.2421875, 540.8125, 445.5, 681.3671875, 459.609375, 455.390625, 477.828125]"
0.043068054015145296,3.7373737373737375,"[995.5234375, 997.5703125, 1000.0, 1000.0, 972.2265625, 1000.0, 984.84375, 1000.0, 995.046875, 1000.0]"
0.0008582714086505614,0.7070707070707071,"[224.421875, 234.0859375, 236.6640625, 247.0390625, 278.1640625, 300.9375, 220.9609375, 245.6484375, 251.1171875, 285.6796875]"
0.003418313712493245,3.3333333333333335,"[340.4375, 290.5859375, 313.515625, 292.2890625, 267.640625, 311.1015625, 278.453125, 319.3984375, 291.3359375, 326.3046875]"
0.004303711287280452,0.20202020202020202,"[232.859375, 236.7734375, 226.375, 924.6875, 975.640625, 1000.0, 211.3203125, 544.03125, 228.0390625, 278.5234375]"
0.2,4.040404040404041,"[977.5859375, 985.453125, 968.9453125, 957.8359375, 947.625, 979.2421875, 981.953125, 977.8671875, 970.9375, 974.546875]"
0.005850838068754207,6.767676767676767,"[1000.0, 995.53125, 970.859375, 982.859375, 872.375, 994.8671875, 984.3515625, 1000.0, 1000.0, 999.453125]"
0.07371594042349698,1.3131313131313131,"[1000.0, 1000.0, 1000.0, 924.2265625, 835.8828125, 903.40625, 969.2421875, 976.953125, 995.765625, 1000.0]"
0.18521930844265186,2.4242424242424243,"[969.1796875, 961.53125, 968.265625, 957.59375, 944.9765625, 973.78125, 979.203125, 973.4765625, 966.3203125, 962.71875]"
9.999999999999999e-05,1.4141414141414141,"[768.0390625, 732.9453125, 364.7890625, 450.265625, 321.265625, 558.546875, 706.015625, 370.171875, 722.2734375, 470.640625]"
0.2,0.5050505050505051,"[1000.0, 987.46875, 957.625, 936.828125, 856.96875, 907.34375, 881.0859375, 902.5234375, 965.90625, 928.9609375]"
0.000464381325261801,7.070707070707071,"[457.3203125, 392.046875, 478.7890625, 425.8515625, 397.125, 370.2890625, 447.21875, 327.125, 466.046875, 343.21875]"
0.05855044475769315,8.585858585858587,"[965.5390625, 921.796875, 970.8359375, 888.578125, 901.1640625, 946.734375, 979.859375, 953.4375, 889.125, 934.6015625]"
0.0005846634683724685,6.4646464646464645,"[430.109375, 337.2578125, 397.1484375, 358.4921875, 364.4453125, 413.46875, 378.7265625, 370.015625, 333.3125, 385.5234375]"
0.00034158579123982024,8.686868686868687,"[441.828125, 488.140625, 446.640625, 352.2578125, 482.890625, 441.140625, 740.21875, 490.21875, 421.2734375, 425.8984375]"
0.0011668085277693407,6.666666666666667,"[450.6171875, 334.390625, 395.890625, 354.3359375, 300.5078125, 370.9296875, 384.0859375, 363.03125, 371.7421875, 389.1796875]"
0.007366298109070191,9.292929292929292,"[1000.0, 1000.0, 1000.0, 1000.0, 950.25, 1000.0, 941.90625, 1000.0, 1000.0, 993.6953125]"
0.07959854838387018,0.6060606060606061,"[932.078125, 941.125, 943.90625, 912.9921875, 886.890625, 787.8046875, 671.7265625, 881.78125, 791.1484375, 542.65625]"
0.017140772906618387,8.686868686868687,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 997.59375, 1000.0, 1000.0, 1000.0]"
0.0199856315113147,7.474747474747475,"[1000.0, 1000.0, 1000.0, 1000.0, 995.6953125, 996.03125, 983.0625, 996.453125, 1000.0, 1000.0]"
0.00023269181687763618,5.151515151515151,"[357.8515625, 378.8359375, 631.3671875, 328.1328125, 318.2421875, 318.4453125, 553.4609375, 384.3359375, 630.9453125, 354.71875]"
0.015874010519682,5.656565656565657,"[994.2890625, 1000.0, 979.8203125, 1000.0, 761.2578125, 1000.0, 994.7890625, 1000.0, 1000.0, 997.0703125]"
0.006317740971984859,6.8686868686868685,"[1000.0, 1000.0, 995.9921875, 999.25, 1000.0, 995.59375, 927.7265625, 1000.0, 991.609375, 998.609375]"
0.03693752348959514,2.525252525252525,"[1000.0, 988.9765625, 988.0, 1000.0, 980.4609375, 992.359375, 989.0859375, 1000.0, 990.1953125, 1000.0]"
0.029338409252311078,0.7070707070707071,"[621.9296875, 561.8046875, 486.8984375, 508.203125, 492.375, 557.4140625, 447.0078125, 416.2265625, 496.2421875, 569.6640625]"
0.000464381325261801,8.787878787878787,"[391.1953125, 407.5390625, 473.1484375, 420.6015625, 484.625, 504.4765625, 460.2265625, 451.1171875, 411.5625, 436.1171875]"
0.011676473941879328,8.484848484848484,"[1000.0, 1000.0, 1000.0, 995.3671875, 894.6953125, 994.6328125, 932.5234375, 1000.0, 1000.0, 991.9453125]"
0.0025144150521764766,1.1111111111111112,"[242.671875, 246.1484375, 242.25, 237.4765625, 254.328125, 291.09375, 238.234375, 235.125, 274.2421875, 256.0390625]"
0.04650492907814755,2.525252525252525,"[994.578125, 998.34375, 996.375, 1000.0, 954.171875, 961.8046875, 971.9765625, 1000.0, 980.0859375, 1000.0]"
0.029338409252311078,6.96969696969697,"[1000.0, 1000.0, 1000.0, 990.578125, 981.875, 997.125, 988.0390625, 1000.0, 1000.0, 995.8125]"
0.0005414548164181544,2.6262626262626263,"[309.3515625, 243.4140625, 325.015625, 264.1484375, 291.125, 269.875, 335.265625, 300.96875, 294.7890625, 283.6640625]"
0.000794842183831788,8.383838383838384,"[444.1796875, 393.796875, 384.8125, 416.5546875, 367.015625, 371.3046875, 428.7109375, 393.7109375, 491.1328125, 439.609375]"
0.0003163414201363777,4.444444444444445,"[309.015625, 556.515625, 413.3203125, 318.6015625, 322.5, 661.546875, 617.953125, 378.8125, 300.40625, 533.0390625]"
0.00501799938586561,4.94949494949495,"[459.03125, 522.0703125, 628.6953125, 415.1796875, 454.171875, 478.46875, 405.0, 510.65625, 414.125, 527.6171875]"
0.02516222768095133,7.171717171717171,"[1000.0, 1000.0, 994.7421875, 999.0546875, 995.890625, 1000.0, 982.359375, 1000.0, 971.6484375, 1000.0]"
0.00023269181687763618,8.88888888888889,"[431.4296875, 374.8671875, 449.4140625, 456.1328125, 375.9453125, 421.3046875, 526.2578125, 457.75, 617.7578125, 571.5859375]"
0.0003163414201363777,0.9090909090909091,"[235.9765625, 224.5078125, 265.59375, 224.7734375, 260.1171875, 603.6484375, 311.4765625, 715.3828125, 276.9296875, 256.6328125]"
0.09280954047418331,8.98989898989899,"[939.9609375, 973.296875, 936.8125, 899.4140625, 967.765625, 959.3515625, 916.3046875, 969.2109375, 943.015625, 968.34375]"
0.0010007189409390025,2.6262626262626263,"[305.6328125, 333.3515625, 318.4765625, 288.5703125, 292.765625, 284.03125, 321.65625, 272.75, 274.59375, 305.875]"
0.0004300619395933647,2.8282828282828283,"[320.046875, 293.25, 268.6484375, 271.4296875, 256.015625, 291.0390625, 295.84375, 296.140625, 299.7265625, 295.125]"
0.15885422995710774,1.4141414141414141,"[945.2265625, 946.1171875, 955.8125, 919.4296875, 911.15625, 962.53125, 972.234375, 946.828125, 957.7578125, 914.4609375]"
0.006821903207721965,8.484848484848484,"[1000.0, 1000.0, 1000.0, 1000.0, 861.046875, 995.1484375, 945.2890625, 965.5078125, 1000.0, 1000.0]"
0.004303711287280452,8.383838383838384,"[872.1015625, 852.921875, 1000.0, 1000.0, 875.40625, 991.6875, 987.765625, 825.90625, 567.921875, 969.3984375]"
0.001080577342992131,0.8080808080808081,"[214.6171875, 238.8984375, 251.3515625, 281.0859375, 327.765625, 313.0546875, 214.2578125, 240.390625, 248.953125, 371.7109375]"
0.005418440904522979,7.474747474747475,"[996.6171875, 1000.0, 1000.0, 1000.0, 986.34375, 999.328125, 978.0078125, 999.6171875, 1000.0, 1000.0]"
0.008588884551030166,2.4242424242424243,"[357.3671875, 368.125, 346.796875, 395.203125, 421.5625, 406.953125, 405.140625, 357.296875, 392.265625, 450.7265625]"
