algorithm,suite,environment,single_obj,hpo,rpo,optimisation_seed,evaluation_seed,final_mean_return,final_std_return,def_rew_mean_return,def_rew_std_return,config
ppo,brax,ant,True,dehb,rs,5,19,8239.9287109375,9.379908409733616,8111.85888671875,15.79724316137031,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 19, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,20,7843.06201171875,17.438870852155794,7362.4033203125,31.193298113395752,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,18,7729.4501953125,23.632590486593923,7857.6171875,21.06045711018866,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 18, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,15,8367.462890625,11.297775329990309,8189.619140625,18.895586423838296,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 15, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,14,8074.521484375,18.838366002242296,7843.3212890625,26.3026110366341,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 14, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,16,7950.8955078125,16.366490937968,8064.5087890625,14.969618458676177,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 16, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,17,8128.7412109375,13.792876741490788,8248.556640625,13.482281523685131,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 17, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,13,7904.126953125,16.48672241039034,8005.50927734375,16.885879615496727,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 13, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,11,8109.51953125,16.172700679226814,8101.5849609375,18.702553319825657,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 11, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
ppo,brax,ant,True,dehb,rs,5,12,7872.970703125,20.456278912150232,7530.1806640625,29.97780091960671,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 12, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}"
