algorithm,suite,environment,single_obj,hpo_x,rpo,rpo,optimisation_seed,hpo_y,rpo,rpo,final_config,incumbent_performance
ppo,brax,ant,True,dehb,rs,rs,4,dehb,rs,rs,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.917749840777268, 'ctrl_cost_weight': 0.23111654647331004, 'healthy_reward': 0.362070042470376}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9586432904102834, 'gae_lambda': 0.8354706359386188, 'learning_rate': 0.0007252067149054785, 'entropy_cost': 0.0180969265629652, 'vf_cost': 0.42857749430005515, 'clipping_epsilon': 0.22230738639954822, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[427.3450622558594, 3779.296142578125, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6206.66552734375, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 6295.3125, 7111.30322265625, 7111.30322265625, 7111.30322265625, 7111.30322265625, 7111.30322265625, 7111.30322265625, 7111.30322265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7364.64697265625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7873.54150390625, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 7919.990234375, 8021.33837890625]"
ppo,brax,ant,True,dehb,rs,rs,5,dehb,rs,rs,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 8.138832455534422, 'ctrl_cost_weight': 0.11494001628450046, 'healthy_reward': 3.5215736366293227}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9576255614189254, 'gae_lambda': 0.8831379112397966, 'learning_rate': 0.001074303936271636, 'entropy_cost': 0.032993478044557406, 'vf_cost': 0.4307743146181361, 'clipping_epsilon': 0.32922800229286886, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[116.97347259521484, 4766.19873046875, 4766.19873046875, 4766.19873046875, 6104.126953125, 6117.16552734375, 6117.16552734375, 6117.16552734375, 6117.16552734375, 6117.16552734375, 6117.16552734375, 6117.16552734375, 6117.16552734375, 6923.80029296875, 6923.80029296875, 6923.80029296875, 6923.80029296875, 6923.80029296875, 6923.80029296875, 6923.80029296875, 6923.80029296875, 6923.80029296875, 6923.80029296875, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 7542.427734375, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8125.85498046875, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8157.11083984375, 8238.83203125]"
ppo,brax,ant,True,dehb,rs,rs,3,dehb,rs,rs,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 1.1830815220203628, 'ctrl_cost_weight': 0.5358279369555481, 'healthy_reward': 5.930430188212149}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9619099347883561, 'gae_lambda': 0.9139026778848005, 'learning_rate': 0.00031756778943657464, 'entropy_cost': 0.022871982157441097, 'vf_cost': 0.33668089306501864, 'clipping_epsilon': 0.23983551243363338, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[3838.0859375, 4618.412109375, 4618.412109375, 4713.72998046875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 6767.17529296875, 7327.48876953125, 7327.48876953125, 7327.48876953125, 7327.48876953125, 7327.48876953125, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7663.11083984375, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125, 7952.87158203125]"
ppo,brax,ant,True,dehb,rs,rs,2,dehb,rs,rs,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 5.851251461385935, 'ctrl_cost_weight': 0.10874026064639897, 'healthy_reward': 1.626130475263231}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9824670678661674, 'gae_lambda': 0.9492252368062122, 'learning_rate': 0.0007883056351461233, 'entropy_cost': 0.016405654912444955, 'vf_cost': 0.4728113474788139, 'clipping_epsilon': 0.3795356156875699, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}","[151.17987060546875, 4578.93701171875, 7317.72802734375, 7317.72802734375, 7317.72802734375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8014.74609375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375, 8118.82177734375]"
ppo,brax,ant,True,dehb,rs,rs,1,dehb,rs,rs,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000001, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 4.644552384554879, 'ctrl_cost_weight': 0.45781894563597847, 'healthy_reward': 1.6323138912295498}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9742634380117756, 'gae_lambda': 0.9186062403709101, 'learning_rate': 0.0009182896393930572, 'entropy_cost': 0.03278596646946479, 'vf_cost': 0.3958169574811965, 'clipping_epsilon': 0.36873746991017864, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[4001.837646484375, 4979.17236328125, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7575.61669921875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7590.44873046875, 7829.66259765625, 7863.97607421875, 7863.97607421875, 7863.97607421875, 7863.97607421875, 7863.97607421875, 7863.97607421875, 7932.76806640625, 7932.76806640625, 7932.76806640625, 7932.76806640625, 7932.76806640625, 7947.22412109375, 7947.22412109375, 7947.22412109375, 7947.22412109375, 7947.22412109375, 7947.22412109375, 7976.11279296875, 7976.11279296875, 7976.11279296875, 7976.11279296875, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625, 8069.76025390625]"
ppo,brax,ant,True,dehb,base,base,5,dehb,base,base,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000000, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 1.0, 'ctrl_cost_weight': 0.5, 'healthy_reward': 1.0}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9750502087724999, 'gae_lambda': 0.9476503316653686, 'learning_rate': 0.0012098665156596122, 'entropy_cost': 0.026657306745860466, 'vf_cost': 0.31346296972171245, 'clipping_epsilon': 0.2400202320974405, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[532.9107666015625, 3248.291748046875, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7024.77880859375, 7454.33447265625, 7454.33447265625, 7454.33447265625, 7454.33447265625, 7454.33447265625, 7454.33447265625, 7454.33447265625, 7454.33447265625, 7454.33447265625, 7606.21044921875, 7606.21044921875, 7606.21044921875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7839.57421875, 7998.69775390625, 7998.69775390625, 7998.69775390625, 7998.69775390625, 7998.69775390625, 7998.69775390625, 7998.69775390625, 8099.36962890625, 8099.36962890625, 8099.36962890625, 8099.36962890625, 8099.36962890625, 8099.36962890625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8190.556640625, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875, 8245.5185546875]"
ppo,brax,ant,True,dehb,dehb,dehb,5,dehb,dehb,dehb,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000000, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 4.842855245522898, 'ctrl_cost_weight': 0.30203191579716593, 'healthy_reward': 6.189162599323291}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.961183988436248, 'gae_lambda': 0.9422418142380078, 'learning_rate': 0.0007004703213356751, 'entropy_cost': 0.023170708575349336, 'vf_cost': 0.4338589613695044, 'clipping_epsilon': 0.27864019097106774, 'num_envs': 4096, 'batch_size': 2048, 'num_eval_envs': 128, 'deterministic_eval': True}}","[288.8793029785156, 3687.265869140625, 6614.32177734375, 6614.32177734375, 6898.56103515625, 6898.56103515625, 6898.56103515625, 6898.56103515625, 6898.56103515625, 6898.56103515625, 6898.56103515625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7680.90625, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7817.22021484375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375, 7950.16162109375]"
ppo,brax,ant,True,dehb,dehb,dehb,4,dehb,dehb,dehb,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000000, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 3.271028038007087, 'ctrl_cost_weight': 0.49023651348563485, 'healthy_reward': 1.3967324784576893}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9762124672200073, 'gae_lambda': 0.9101316063808297, 'learning_rate': 0.001756855220751558, 'entropy_cost': 0.026500402530469327, 'vf_cost': 0.47845091371989135, 'clipping_epsilon': 0.1934281714143358, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[540.0880737304688, 3317.922119140625, 6075.51416015625, 6075.51416015625, 6465.728515625, 6696.78955078125, 6696.78955078125, 6696.78955078125, 6696.78955078125, 6696.78955078125, 6696.78955078125, 6696.78955078125, 6696.78955078125, 6696.78955078125, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7584.67724609375, 7694.53515625, 7694.53515625, 7694.53515625, 7694.53515625, 7694.53515625, 7694.53515625, 7694.53515625, 7694.53515625, 7694.53515625, 7935.30615234375, 7935.30615234375, 7935.30615234375, 7935.30615234375, 7935.30615234375, 7935.30615234375, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 7938.75, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125, 8099.83203125]"
ppo,brax,ant,True,dehb,dehb,dehb,2,dehb,dehb,dehb,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000000, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 6.611236891504209, 'ctrl_cost_weight': 0.35383410104175494, 'healthy_reward': 0.7972190143323352}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9770706781754959, 'gae_lambda': 0.8521990665785701, 'learning_rate': 0.0006663294379688509, 'entropy_cost': 0.03518340497390897, 'vf_cost': 0.5015622001966945, 'clipping_epsilon': 0.3198233492686988, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[856.7042846679688, 5803.89208984375, 6804.55126953125, 6804.55126953125, 6804.55126953125, 6804.55126953125, 6804.55126953125, 6804.55126953125, 6804.55126953125, 6804.55126953125, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7527.81103515625, 7566.16943359375, 7566.16943359375, 7566.16943359375, 7566.16943359375, 7566.16943359375, 7566.16943359375, 7707.27392578125, 7707.27392578125, 7707.27392578125, 7707.27392578125, 7707.27392578125, 7707.27392578125, 7707.27392578125, 7707.27392578125, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8022.38525390625, 8034.82373046875, 8034.82373046875, 8034.82373046875, 8034.82373046875, 8034.82373046875, 8034.82373046875, 8034.82373046875, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8151.08349609375, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125, 8324.7236328125]"
ppo,brax,ant,True,dehb,dehb,dehb,3,dehb,dehb,dehb,"{'agent_class': 'PPO', 'eval': True, 'return_weight': 1, 'stability_weight': 0, 'num_timesteps': 50000000, 'policy_model': 'MlpPolicy', 'backend': 'generalized', 'reward_shape': {'forward_reward_weight': 3.0719073292414265, 'ctrl_cost_weight': 0.23074824949286948, 'healthy_reward': 1.8029069199914134}, 'model_kwargs': {'seed': 20, 'num_evals': 10, 'episode_length': 1000, 'reward_scaling': 1.0, 'normalize_observations': True, 'action_repeat': 1, 'unroll_length': 5, 'num_minibatches': 32, 'num_updates_per_batch': 4, 'discounting': 0.9700554386914896, 'gae_lambda': 0.9246264838789301, 'learning_rate': 0.0015173099661035879, 'entropy_cost': 0.027534945498514568, 'vf_cost': 0.6643153028394971, 'clipping_epsilon': 0.2586340349185995, 'num_envs': 4096, 'batch_size': 1024, 'num_eval_envs': 128, 'deterministic_eval': True}}","[2069.841064453125, 5438.18603515625, 7685.77734375, 7685.77734375, 7685.77734375, 7685.77734375, 7685.77734375, 7685.77734375, 8073.71728515625, 8073.71728515625, 8073.71728515625, 8154.95166015625, 8154.95166015625, 8154.95166015625, 8154.95166015625, 8154.95166015625, 8154.95166015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8258.8291015625, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875, 8260.0185546875]"
